PCB,time,sample,concentration
4,0,1,11.10560312
4,0,2,10.29790588
4,0,3,13.31121246
4,0,4,12.0004037
4,0,5,11.28458765
4,7,6,0.052992076
4,7,7,0.146892669
4,7,8,0.465702864
4,7,9,0.101428572
4,28,10,0
4,28,11,0
4,28,12,0.15844849
4,28,13,0
4,28,14,0.026015145
17,0,1,83.31785353
17,0,2,73.82825798
17,0,3,94.18516573
17,0,4,87.22654532
17,0,5,80.7570282
17,7,6,9.552494736
17,7,7,4.727688819
17,7,8,12.1992164
17,7,9,22.55637884
17,28,10,0
17,28,11,0.182944891
17,28,12,4.060927224
17,28,13,0
17,28,14,0.534563892
19,0,1,15.01169594
19,0,2,13.27165606
19,0,3,17.16990862
19,0,4,15.75181333
19,0,5,14.70941307
19,7,6,17.36016227
19,7,7,12.80417353
19,7,8,9.476393604
19,7,9,18.82225506
19,28,10,3.691401556
19,28,11,5.71347508
19,28,12,2.33899244
19,28,13,4.772436019
19,28,14,3.439796094
28,0,1,312.4663669
28,0,2,274.3520136
28,0,3,347.3117692
28,0,4,322.3371997
28,0,5,297.8947965
28,7,6,302.5327702
28,7,7,196.4651238
28,7,8,173.0430423
28,7,9,315.9002797
28,28,10,38.58944137
28,28,11,79.09096079
28,28,12,36.13970557
28,28,13,66.65022332
28,28,14,34.72002822
31,0,1,369.0008164
31,0,2,323.391354
31,0,3,409.6253928
31,0,4,380.8461684
31,0,5,352.5392675
31,7,6,126.7572076
31,7,7,37.1967285
31,7,8,104.5825684
31,7,9,158.3073758
31,28,10,0.776621151
31,28,11,2.150548888
31,28,12,24.22455581
31,28,13,7.319185268
31,28,14,3.365459214
52,0,1,574.5118055
52,0,2,514.1753435
52,0,3,625.7192554
52,0,4,586.2498434
52,0,5,572.0526723
52,7,6,428.2811471
52,7,7,182.8735448
52,7,8,286.5156628
52,7,9,428.4816112
52,28,10,2.53059216
52,28,11,23.47213676
52,28,12,46.59937991
52,28,13,36.89938408
52,28,14,10.07065129
