"","diff","lwr","upr","p adj"
"35:Control-16:Control",195.84221046,127.319007261766,264.365413658234,6.51378864069407e-06
"75:Control-16:Control",502.748811426667,434.225608228433,571.272014624901,1.0778944403711e-10
"75:Treatment-16:Control",377.72749636,309.204293161766,446.250699558234,4.61901739079451e-09
"75:Control-35:Control",306.906600966667,238.383397768433,375.429804164901,4.41203550360925e-08
"16:Treatment-35:Control",-243.01606962,-311.539272818234,-174.492866421766,6.2501427622319e-07
"35:Treatment-35:Control",-136.3369254,-204.860128598234,-67.8137222017661,0.000251961102766041
"75:Treatment-35:Control",181.8852859,113.362082701766,250.408489098234,1.41907485402548e-05
"16:Treatment-75:Control",-549.922670586667,-618.445873784901,-481.399467388433,2.54369858510017e-11
"35:Treatment-75:Control",-443.243526366667,-511.766729564901,-374.720323168433,6.94440505100147e-10
"75:Treatment-75:Control",-125.021315066667,-193.544518264901,-56.4981118684329,0.000562836122983912
"35:Treatment-16:Treatment",106.67914422,38.1559410217662,175.202347418234,0.00224090350522799
"75:Treatment-16:Treatment",424.90135552,356.378152321766,493.424558718234,1.19756959904294e-09
"75:Treatment-35:Treatment",318.2222113,249.699008101766,386.745414498234,2.93324680100682e-08
