"","diff","lwr","upr","p adj"
"16:Control-3:Control",-0.184368944,-0.364137145244169,-0.00460074275583064,0.0420435907583387
"35:Control-3:Control",-0.391522251666667,-0.571290452910836,-0.211754050422497,2.0923605612011e-05
"3:Treatment-3:Control",-0.619373098666666,-0.799141299910836,-0.439604897422497,3.87800788148596e-08
"11:Treatment-3:Control",-0.603618239666666,-0.783386440910836,-0.423850038422497,5.618817466857e-08
"19:Treatment-3:Control",-0.599135989333333,-0.778904190577502,-0.419367788089164,6.25382651220363e-08
"35:Treatment-3:Control",-0.593834247333333,-0.773602448577502,-0.414066046089164,7.10476769638646e-08
"35:Control-11:Control",-0.360176616666667,-0.539944817910836,-0.180408415422497,5.93294714421599e-05
"3:Treatment-11:Control",-0.588027463666667,-0.767795664910836,-0.408259262422497,8.17967418242915e-08
"11:Treatment-11:Control",-0.572272604666667,-0.752040805910836,-0.392504403422497,1.20624665034264e-07
"19:Treatment-11:Control",-0.567790354333333,-0.747558555577503,-0.388022153089164,1.34944871610365e-07
"35:Treatment-11:Control",-0.562488612333333,-0.742256813577503,-0.382720411089164,1.54241611260986e-07
"35:Control-16:Control",-0.207153307666667,-0.386921508910836,-0.0273851064224973,0.0175383870233771
"3:Treatment-16:Control",-0.435004154666667,-0.614772355910836,-0.255235953422497,5.32826995047753e-06
"11:Treatment-16:Control",-0.419249295666666,-0.599017496910836,-0.239481094422497,8.65739957756073e-06
"19:Treatment-16:Control",-0.414767045333333,-0.594535246577502,-0.234998844089164,9.96029884670069e-06
"35:Treatment-16:Control",-0.409465303333333,-0.589233504577503,-0.229697102089164,1.17711065555914e-05
"3:Treatment-35:Control",-0.227850847,-0.407619048244169,-0.0480826457558306,0.00784215304205838
"11:Treatment-35:Control",-0.212095988,-0.391864189244169,-0.0323277867558306,0.0144770916911613
"19:Treatment-35:Control",-0.207613737666666,-0.387381938910836,-0.0278455364224972,0.0172281093203028
"35:Treatment-35:Control",-0.202311995666667,-0.382080196910836,-0.0225437944224974,0.0211528034869479
